Access Cable Television Inc.
Ace Communication Group
Advance Cable
Allegiance Communications
Amazon
Amstrong
Antietam Cable Television
Apple TV
Astound
AT&T
Atlantic Broadband
Bell
Bend Broadband
Blue Ridge Communications
Brandenburg Telephone Company
Bresnan Communications
Bright House Networks
Broadstripe
Buckeye CableSystem
Cable One
Cablevision Systems Corporation
"CenturyLink, Inc"
Champion Wire & Cable
Charter Communication
Choice
Clear TV Digital HD Anntena
Cogeco Cable TV
Comcast
Comporium Communications
Consolidated Communications
Cox Communications
DIRECTV
Dish
Eagle Communications
Eastlink
EchoStar
ExpressVu
FairPoint Communications
Fidelity Communications Co.
Frankfort Plant Board
Frontier Communications
Gallaudet University Cable
GCI
Google
Grande Communications
Hulu
MCTV
Mediacom
MetroCast Digital Cable Television
Midcontinent Communications
Mid-Hudson Cable
MTS
Netflix
New York University Cable
NewWave Communications
Northland Communications
Other
PenTeleData
RCN
Rogers Cable
"Roku, Inc"
Service Electric Broadband Cable
Shaw Communications Inc
Shaw Direct
Sprint
Suddenlink Communications
TELUS Satellite
Time Warner Cable
T-Mobile
Troy Cable
USA Communications
Verizon Fios
Videotron
Vontage
Wave Broadband
Wheco Media Inc
WOW!
YouTube
Zito Media
